date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:47	261272/261272	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225f6db494-3fc98%22	https://9btstore.net/fonts/sallaicons.woff?302b748167aa128d48ff39336cad7378	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/sallaicons1510.woff	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:47	960361/960361	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f6db494-ea769%22	https://9btstore.net/images/sallaicons.svg?2c60a3c46dc18cc3c3e98c71e4dc42dd	C:/My%20Web%20Sites/9bt/9btstore.net/images/sallaiconsb7a4.svg	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:47	218392/218392	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f6db494-35518%22	https://9btstore.net/fonts/icomoon.eot?ad579ff1278c3d4388d15fc27b40b67e	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/icomoon1079.eot	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:47	218392/218392	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f6db494-35518%22	https://9btstore.net/fonts/icomoon.eot?ad579ff1278c3d4388d15fc27b40b67e?	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/icomoon6e55.eot	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:48	218304/218304	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225f6db494-354c0%22	https://9btstore.net/fonts/icomoon.woff?c068d37f3b072da2ecefcf5369f219ad	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/icomoonf2de.woff	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:48	218228/218228	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-35474%22	https://9btstore.net/fonts/icomoon.ttf?34fdc4136a7e7e129a6e1897b4c50ee1	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/icomoon317b.ttf	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:48	637835/637835	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f6db494-9bb8b%22	https://9btstore.net/fonts/icomoon.svg?9fc4031c3e96973f418ed77f0ff3b0f3	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/icomoon67f1.svg	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:48	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f6db494-2876e%22	https://9btstore.net/fonts/fontawesome-webfont.eot?674f50d287a8c48dc19ba404d20fe713	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/fontawesome-webfont2967.eot	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:48	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f6db494-2876e%22	https://9btstore.net/fonts/fontawesome-webfont.eot?674f50d287a8c48dc19ba404d20fe713?	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/fontawesome-webfontfb78.eot	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:49	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-12d68%22	https://9btstore.net/fonts/fontawesome-webfont.woff2?af7ae505a9eed503f8b8e6982036873e	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/fontawesome-webfontbb99.woff2	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:49	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225f6db494-17ee8%22	https://9btstore.net/fonts/fontawesome-webfont.woff?fee66e712a8a08eef5805a46892932ad	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/fontawesome-webfontce29.woff	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:49	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-286ac%22	https://9btstore.net/fonts/fontawesome-webfont.ttf?b06871f281fee6b241d60582ae9369b9	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/fontawesome-webfont1bb7.ttf	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:49	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f6db494-6c7db%22	https://9btstore.net/fonts/fontawesome-webfont.svg?912ec66d7572ff821749319396470bde	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/fontawesome-webfont2f98.svg	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:50	10620/10620	---M--	200	added ('OK')	image/png	etag:%225f6db494-297c%22	https://9btstore.net/themes/default/assets/images/placeholder.png	C:/My%20Web%20Sites/9bt/9btstore.net/themes/default/assets/images/placeholder.png	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
